Comment,Designator,Footprint,LCSC,Quantity
10nF,C7,C_0402_1005Metric,C15195,1
100nF,"C3,C4,C5,C9",C_0402_1005Metric,C1525,4
USB_C_Receptacle_USB2.0_16P,J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,C165948,1
1N4148,"D1,D10,D11,D12,D13,D14,D15,D16,D17,D18,D19,D2,D20,D21,D22,D23,D24,D25,D26,D27,D28,D29,D3,D30,D31,D32,D33,D34,D4,D5,D6,D7,D8,D9",D_SOD-323,C2128,34
5.1k,"R2,R3",R_0603_1608Metric,C23186,2
4.7uF,"C10,C6",C_0402_1005Metric,C23733,2
10k,R1,R_0603_1608Metric,C25804,1
SW_Push,"BOOT1,RESET1",SW_Push_1P1T_XKB_TS-1187A,C318884,2
1uF,"C1,C2,C8",C_0402_1005Metric,C52923,3
AMS1117-3.3,U1,SOT-223-3_TabPin2,C6186,1
USBLC6-2SC6,U2,SOT-23-6,C7519,1
STM32F072CBTx,U3,LQFP-48_7x7mm_P0.5mm,C81720,1
Polyfuse_Small,F1,Fuse_1812_4532Metric,C84140,1
