Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
BOOT1,SW_Push,SW_Push_1P1T_XKB_TS-1187A,154.87,-110.3175,270.0,bottom
C1,1uF,C_0402_1005Metric,154.84,-71.78,270.0,bottom
C10,4.7uF,C_0402_1005Metric,154.52,-87.62,90.0,bottom
C2,1uF,C_0402_1005Metric,163.81,-60.35,180.0,bottom
C3,100nF,C_0402_1005Metric,146.22,-114.6,180.0,bottom
C4,100nF,C_0402_1005Metric,145.2075,-88.5675,0.0,bottom
C5,100nF,C_0402_1005Metric,154.57,-95.98,180.0,bottom
C6,4.7uF,C_0402_1005Metric,154.57,-97.0,180.0,bottom
C7,10nF,C_0402_1005Metric,148.620001,-98.46,270.0,bottom
C8,1uF,C_0402_1005Metric,147.620001,-98.46,270.0,bottom
C9,100nF,C_0402_1005Metric,153.52,-87.62,90.0,bottom
D1,1N4148,D_SOD-323,68.960002,-74.671754,270.0,bottom
D10,1N4148,D_SOD-323,230.984451,-74.671926,270.0,bottom
D11,1N4148,D_SOD-323,68.960004,-87.671752,270.0,bottom
D12,1N4148,D_SOD-323,85.959341,-78.283725,270.0,bottom
D13,1N4148,D_SOD-323,105.124774,-72.423516,270.0,bottom
D14,1N4148,D_SOD-323,118.899875,-87.105472,270.0,bottom
D15,1N4148,D_SOD-323,133.252837,-90.344683,270.0,bottom
D16,1N4148,D_SOD-323,166.486237,-90.345066,270.0,bottom
D17,1N4148,D_SOD-323,180.839199,-87.105855,270.0,bottom
D18,1N4148,D_SOD-323,194.488479,-72.457469,270.0,bottom
D19,1N4148,D_SOD-323,213.712457,-78.292703,270.0,bottom
D2,1N4148,D_SOD-323,87.656181,-65.394941,270.0,bottom
D20,1N4148,D_SOD-323,230.984451,-87.671926,270.0,bottom
D21,1N4148,D_SOD-323,68.960004,-100.671752,270.0,bottom
D22,1N4148,D_SOD-323,84.2625,-91.172508,270.0,bottom
D23,1N4148,D_SOD-323,101.760126,-84.980551,270.0,bottom
D24,1N4148,D_SOD-323,113.924989,-99.115906,270.0,bottom
D25,1N4148,D_SOD-323,128.277953,-102.355117,270.0,bottom
D26,1N4148,D_SOD-323,171.461122,-102.3555,270.0,bottom
D27,1N4148,D_SOD-323,185.814084,-99.116289,270.0,bottom
D28,1N4148,D_SOD-323,197.853127,-85.014504,270.0,bottom
D29,1N4148,D_SOD-323,215.409298,-91.181486,270.0,bottom
D3,1N4148,D_SOD-323,108.489422,-59.866482,270.0,bottom
D30,1N4148,D_SOD-323,230.98445,-100.671926,270.0,bottom
D31,1N4148,D_SOD-323,107.419372,-114.821858,270.0,bottom
D32,1N4148,D_SOD-323,119.858917,-122.680467,270.0,bottom
D33,1N4148,D_SOD-323,179.880157,-122.68085,270.0,bottom
D34,1N4148,D_SOD-323,192.319702,-114.822241,270.0,bottom
D4,1N4148,D_SOD-323,123.87476,-75.095038,270.0,bottom
D5,1N4148,D_SOD-323,138.227721,-78.334249,270.0,bottom
D6,1N4148,D_SOD-323,161.511353,-78.334632,270.0,bottom
D7,1N4148,D_SOD-323,175.864314,-75.095421,270.0,bottom
D8,1N4148,D_SOD-323,191.123831,-59.900434,270.0,bottom
D9,1N4148,D_SOD-323,212.015617,-65.403919,270.0,bottom
F1,Polyfuse_Small,Fuse_1812_4532Metric,157.37,-68.11,270.0,bottom
J1,USB_C_Receptacle_USB2.0_16P,USB_C_Receptacle_HRO_TYPE-C-31-M-12,149.87,-63.7775,180.0,bottom
R1,10k,R_0603_1608Metric,155.975,-115.3175,0.0,bottom
R2,5.1k,R_0603_1608Metric,147.795,-68.8625,0.0,bottom
R3,5.1k,R_0603_1608Metric,152.445,-68.8625,180.0,bottom
RESET1,SW_Push,SW_Push_1P1T_XKB_TS-1187A,144.87,-110.3175,90.0,bottom
U1,AMS1117-3.3,SOT-223-3_TabPin2,163.3425,-65.76,270.0,bottom
U2,USBLC6-2SC6,SOT-23-6,150.37,-72.885,0.0,bottom
U3,STM32F072CBTx,LQFP-48_7x7mm_P0.5mm,149.87,-92.3175,0.0,bottom
